"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerBirthdateComparator record1Value","[0] PlayerBirthdateComparator record2Value","[0] PlayerBirthdateComparator record1PreprocessedValue","[0] PlayerBirthdateComparator record2PreprocessedValue","[0] PlayerBirthdateComparator similarity","[0] PlayerBirthdateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","eafc_10803","fm_5811","0.0",,"1998-04-01T00:00","2005-04-01T00:00","1998-04-01T00:00","2005-04-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_14082","0.0",,"2003-02-10T00:00","2006-04-04T00:00","2003-02-10T00:00","2006-04-04T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_3821","0.0",,"1996-03-11T00:00","2002-03-06T00:00","1996-03-11T00:00","2002-03-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_15172","0.0",,"2003-02-10T00:00","1996-12-01T00:00","2003-02-10T00:00","1996-12-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10803","fm_15525","0.6666666666666667",,"1998-04-01T00:00","1999-04-05T00:00","1998-04-01T00:00","1999-04-05T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_9410","fm_1276","0.0",,"2001-03-28T00:00","1996-03-11T00:00","2001-03-28T00:00","1996-03-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9410","fm_17853","0.0",,"2001-03-28T00:00","2004-06-06T00:00","2001-03-28T00:00","2004-06-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9410","fm_2363","0.0",,"2001-03-28T00:00","1986-10-06T00:00","2001-03-28T00:00","1986-10-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_3828","0.0",,"1996-03-11T00:00","2000-01-12T00:00","1996-03-11T00:00","2000-01-12T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_8073","fm_10966","1.0",,"2001-04-02T00:00","2001-03-31T00:00","2001-04-02T00:00","2001-03-31T00:00","1.0","1.0"
"LinearCombinationMatchingRule","eafc_10834","fm_10966","0.33333333333333337",,"2003-02-10T00:00","2001-03-31T00:00","2003-02-10T00:00","2001-03-31T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_10834","fm_12906","0.0",,"2003-02-10T00:00","2006-04-22T00:00","2003-02-10T00:00","2006-04-22T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_11277","1.0",,"1996-03-11T00:00","1996-08-12T00:00","1996-03-11T00:00","1996-08-12T00:00","1.0","1.0"
"LinearCombinationMatchingRule","eafc_4686","fm_14545","0.0",,"1996-03-11T00:00","1989-08-26T00:00","1996-03-11T00:00","1989-08-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_4174","0.0",,"1996-05-01T00:00","2004-10-06T00:00","1996-05-01T00:00","2004-10-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_13212","0.0",,"1996-03-11T00:00","2003-04-21T00:00","1996-03-11T00:00","2003-04-21T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9484","fm_16237","0.6666666666666667",,"2000-02-08T00:00","2001-09-08T00:00","2000-02-08T00:00","2001-09-08T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_4686","fm_8038","0.0",,"1996-03-11T00:00","2004-08-29T00:00","1996-03-11T00:00","2004-08-29T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_8073","fm_15172","0.0",,"2001-04-02T00:00","1996-12-01T00:00","2001-04-02T00:00","1996-12-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_10180","0.6666666666666667",,"1996-03-11T00:00","1995-01-01T00:00","1996-03-11T00:00","1995-01-01T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_4686","fm_14541","0.0",,"1996-03-11T00:00","1993-04-26T00:00","1996-03-11T00:00","1993-04-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_18210","0.6666666666666667",,"2003-02-10T00:00","2004-01-26T00:00","2003-02-10T00:00","2004-01-26T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_10803","fm_16867","0.33333333333333337",,"1998-04-01T00:00","2000-02-11T00:00","1998-04-01T00:00","2000-02-11T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_9484","fm_10948","0.0",,"2000-02-08T00:00","2003-01-05T00:00","2000-02-08T00:00","2003-01-05T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9410","fm_17645","0.0",,"2001-03-28T00:00","2004-10-23T00:00","2001-03-28T00:00","2004-10-23T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_9549","0.0",,"2003-02-10T00:00","1989-08-12T00:00","2003-02-10T00:00","1989-08-12T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_8073","fm_11825","0.33333333333333337",,"2001-04-02T00:00","1999-03-26T00:00","2001-04-02T00:00","1999-03-26T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_9484","fm_15398","1.0",,"2000-02-08T00:00","2000-04-16T00:00","2000-02-08T00:00","2000-04-16T00:00","1.0","1.0"
"LinearCombinationMatchingRule","eafc_9484","fm_16003","0.6666666666666667",,"2000-02-08T00:00","2001-03-28T00:00","2000-02-08T00:00","2001-03-28T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_9484","fm_15394","0.33333333333333337",,"2000-02-08T00:00","2002-07-15T00:00","2000-02-08T00:00","2002-07-15T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_10834","fm_11825","0.0",,"2003-02-10T00:00","1999-03-26T00:00","2003-02-10T00:00","1999-03-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9484","fm_2448","1.0",,"2000-02-08T00:00","2000-05-10T00:00","2000-02-08T00:00","2000-05-10T00:00","1.0","1.0"
"LinearCombinationMatchingRule","eafc_8073","fm_18210","0.0",,"2001-04-02T00:00","2004-01-26T00:00","2001-04-02T00:00","2004-01-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9484","fm_2686","0.33333333333333337",,"2000-02-08T00:00","1998-10-16T00:00","2000-02-08T00:00","1998-10-16T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_9484","fm_9071","0.0",,"2000-02-08T00:00","2006-07-01T00:00","2000-02-08T00:00","2006-07-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10803","fm_17726","0.0",,"1998-04-01T00:00","2002-01-26T00:00","1998-04-01T00:00","2002-01-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_15861","0.0",,"1996-03-11T00:00","1989-08-06T00:00","1996-03-11T00:00","1989-08-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_1911","0.6666666666666667",,"1996-05-01T00:00","1997-04-22T00:00","1996-05-01T00:00","1997-04-22T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_9484","fm_14082","0.0",,"2000-02-08T00:00","2006-04-04T00:00","2000-02-08T00:00","2006-04-04T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_1836","0.0",,"2003-02-10T00:00","1997-01-04T00:00","2003-02-10T00:00","1997-01-04T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9410","fm_17880","0.0",,"2001-03-28T00:00","2006-05-07T00:00","2001-03-28T00:00","2006-05-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_8296","0.0",,"1996-03-11T00:00","2005-03-11T00:00","1996-03-11T00:00","2005-03-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_1276","1.0",,"1996-03-11T00:00","1996-03-11T00:00","1996-03-11T00:00","1996-03-11T00:00","1.0","1.0"
"LinearCombinationMatchingRule","eafc_9484","fm_10966","0.6666666666666667",,"2000-02-08T00:00","2001-03-31T00:00","2000-02-08T00:00","2001-03-31T00:00","0.6666666666666667","0.6666666666666667"
